"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"SIR","USEMV","D4","Y_to_X","NN_GC",-0.0326,1,1,"No","No"
"SIR","USEMV","D5","X_to_Y","Linear_F",14.0421,0,0,"Yes","Yes"
"SIR","USEMV","D5","Y_to_X","Linear_F",0.0794,0.9237,0.9474,"No","No"
"SIR","USEMV","D5","X_to_Y","NN_GC",0.2047,0.9997,1,"No","No"
"SIR","USEMV","D5","Y_to_X","NN_GC",0.1807,0.9999,1,"No","No"
"SIR","USEMV","D6","X_to_Y","Linear_F",52.3145,0,0,"Yes","Yes"
"SIR","USEMV","D6","Y_to_X","Linear_F",6.0552,0.0026,0.0203,"Yes","Yes"
"SIR","USEMV","D6","X_to_Y","NN_GC",-0.0647,1,1,"No","No"
"SIR","USEMV","D6","Y_to_X","NN_GC",0.5232,0.9344,1,"No","No"
"SIR","USMPU","D1","X_to_Y","Linear_F",0.5909,0.5544,0.6789,"No","No"
"SIR","USMPU","D1","Y_to_X","Linear_F",0.177,0.8379,0.8761,"No","No"
"SIR","USMPU","D1","X_to_Y","NN_GC",0.0698,1,1,"No","No"
"SIR","USMPU","D1","Y_to_X","NN_GC",0.7201,0.7731,1,"No","No"
"SIR","USMPU","D2","X_to_Y","Linear_F",0.8508,0.4281,0.5605,"No","No"
"SIR","USMPU","D2","Y_to_X","Linear_F",0.1897,0.8273,0.8761,"No","No"
"SIR","USMPU","D2","X_to_Y","NN_GC",0.1692,0.9999,1,"No","No"
"SIR","USMPU","D2","Y_to_X","NN_GC",1.292,0.2005,1,"No","No"
"SIR","USMPU","D3","X_to_Y","Linear_F",2.1549,0.1176,0.2016,"No","No"
"SIR","USMPU","D3","Y_to_X","Linear_F",1.6266,0.1982,0.3972,"No","No"
"SIR","USMPU","D3","X_to_Y","NN_GC",0.4616,0.9632,1,"No","No"
"SIR","USMPU","D3","Y_to_X","NN_GC",0.1808,0.9998,1,"No","No"
"SIR","USMPU","D4","X_to_Y","Linear_F",8.472,3e-04,0.0013,"Yes","Yes"
"SIR","USMPU","D4","Y_to_X","Linear_F",8.0906,4e-04,0.008,"Yes","Yes"
"SIR","USMPU","D4","X_to_Y","NN_GC",0.153,1,1,"No","No"
"SIR","USMPU","D4","Y_to_X","NN_GC",-0.0053,1,1,"No","No"
"SIR","USMPU","D5","X_to_Y","Linear_F",1.4633,0.233,0.3289,"No","No"
"SIR","USMPU","D5","Y_to_X","Linear_F",2.7109,0.068,0.2205,"Yes","No"
"SIR","USMPU","D5","X_to_Y","NN_GC",0.301,0.9963,1,"No","No"
"SIR","USMPU","D5","Y_to_X","NN_GC",0.5921,0.8893,1,"No","No"
"SIR","USMPU","D6","X_to_Y","Linear_F",159.8482,0,0,"Yes","Yes"
"SIR","USMPU","D6","Y_to_X","Linear_F",8.1078,4e-04,0.008,"Yes","Yes"
"SIR","USMPU","D6","X_to_Y","NN_GC",-0.1394,1,1,"No","No"
"SIR","USMPU","D6","Y_to_X","NN_GC",0.0367,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","Linear_F",3.2963,0.0383,0.0867,"Yes","Yes"
"Oil Price (WTI)","EPU","D1","Y_to_X","Linear_F",1.0641,0.3462,0.5691,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","NN_GC",0.0623,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","Y_to_X","NN_GC",1e-04,1,1,"No","No"
"Oil Price (WTI)","EPU","D2","X_to_Y","Linear_F",2.7754,0.0638,0.1276,"Yes","No"
"Oil Price (WTI)","EPU","D2","Y_to_X","Linear_F",2.1502,0.1181,0.2912,"No","No"
"Oil Price (WTI)","EPU","D2","X_to_Y","NN_GC",0.0878,1,1,"No","No"
"Oil Price (WTI)","EPU","D2","Y_to_X","NN_GC",0.1311,1,1,"No","No"
"Oil Price (WTI)","EPU","D3","X_to_Y","Linear_F",3.859,0.0221,0.0577,"Yes","Yes"
